id,departureTs,departureTs_c,VOT,VOT_c,type,type_c,TravelTimeDifference(h)
1,1546293601.0,1546293601.0,43.101961311147974,55.897023199908006,car,car,0.014444444444444444
2,1546293621.0,1546293621.0,43.39790042588134,50.268470346999145,car,car,0.015833333333333335
3,1546293641.0,1546293641.0,39.534730055584525,46.351556597438744,car,car,0.014722222222222222
4,1546293661.0,1546293661.0,59.338188058376275,53.397484106924466,car,car,0.014166666666666666
5,1546293681.0,1546293681.0,38.7282833037195,53.53729527132199,car,car,0.015277777777777777
6,1546293701.0,1546293701.0,42.034185893986354,31.539053051799854,car,car,0.015277777777777777
7,1546293721.0,1546293721.0,53.855220910623416,54.60612979057658,car,car,0.013333333333333334
8,1546293741.0,1546293741.0,45.62700432678345,55.53614421311421,car,car,0.013888888888888888
9,1546293761.0,1546293761.0,48.640043177860974,51.72149928323747,car,car,0.014444444444444444
10,1546293781.0,1546293781.0,37.97745938631113,51.870717160290994,car,car,0.012777777777777779
11,1546293801.0,1546293801.0,59.7702097580444,51.17638086109522,car,car,0.014166666666666666
12,1546293821.0,1546293821.0,32.060635697245935,57.175309133230826,car,car,0.01361111111111111
13,1546293601.0,1546293601.0,53.58025387670942,28.778545401697325,bus,bus,0.014444444444444444
14,1546293721.0,1546293721.0,42.12963053223779,45.759110156802045,bus,bus,0.013333333333333334
15,1546293601.0,1546293601.0,58.21932999760121,38.572484637989504,car,car,0.02666666666666667
16,1546293621.0,1546293621.0,43.01736118962917,39.71977473240937,car,car,0.02388888888888889
17,1546293641.0,1546293641.0,58.544214561683845,40.07048958713369,car,car,0.0275
18,1546293661.0,1546293661.0,41.66751138746879,43.3654353408771,car,car,0.029444444444444443
19,1546293681.0,1546293681.0,45.23844814458064,43.17891618019268,car,car,0.029722222222222223
20,1546293701.0,1546293701.0,41.70724125697956,45.260546088488255,car,car,0.03111111111111111
21,1546293721.0,1546293721.0,27.55244347629695,52.06734402856626,car,car,0.03638888888888889
22,1546293741.0,1546293741.0,32.84167128025172,48.633346818295145,car,car,0.03333333333333333
23,1546293761.0,1546293761.0,48.480294933060335,40.40574324067774,car,car,0.03333333333333333
24,1546293781.0,1546293781.0,65.25416038548755,49.30448885102124,car,car,0.03305555555555555
25,1546293801.0,1546293801.0,42.612546713948184,59.315845788667225,car,car,0.03333333333333333
26,1546293821.0,1546293821.0,49.11841021938409,39.76856493514478,car,car,0.0325
27,1546293601.0,1546293601.0,53.49023093136806,53.4647145362875,bus,bus,0.02666666666666667
28,1546293721.0,1546293721.0,46.58298036833132,24.047661818386217,bus,bus,0.03638888888888889
29,1546293601.0,1546293601.0,73.69049991948982,55.0890090215806,car,car,-0.0077777777777777776
30,1546293631.0,1546293631.0,57.937453414387775,48.227010233444304,car,car,-0.005
31,1546293661.0,1546293661.0,57.2235657445281,48.1217949206824,car,car,-0.006666666666666667
32,1546293691.0,1546293691.0,43.819951172481474,36.62065289835826,car,car,0.03805555555555556
33,1546293721.0,1546293721.0,50.60680304640932,39.57201773038354,car,car,-0.009722222222222222
34,1546293751.0,1546293751.0,57.6788988978974,51.64074648237207,car,car,-0.008055555555555555
35,1546293781.0,1546293781.0,42.30595684533704,41.69657405011371,car,car,0.035
36,1546293811.0,1546293811.0,56.08622527349244,61.13782127292848,car,car,-0.011666666666666667
37,1546293601.0,1546293601.0,41.743952056247316,64.52634231659233,bus,bus,0.03388888888888889
38,1546293661.0,1546293661.0,55.99785852729505,49.3299063550143,bus,bus,-0.006666666666666667
39,1546293721.0,1546293721.0,52.002804815971444,42.9731315825777,bus,bus,-0.009722222222222222
40,1546293781.0,1546293781.0,49.8852899558898,58.60216128477493,bus,bus,0.03166666666666667
41,1546293601.0,1546293601.0,38.88008918824326,49.33862317752061,car,car,0.04777777777777778
42,1546293631.0,1546293631.0,53.949400448429806,48.38184055873265,car,car,0.06861111111111111
43,1546293661.0,1546293661.0,67.43404409842904,47.054749224420824,car,car,-0.010833333333333334
44,1546293691.0,1546293691.0,39.441105416491716,74.19219086536216,car,car,0.075
45,1546293721.0,1546293721.0,52.38045846631922,66.1629898967941,car,car,-0.012777777777777779
46,1546293751.0,1546293751.0,54.33311669647959,51.961366150384904,car,car,-0.0077777777777777776
47,1546293781.0,1546293781.0,44.86216346557918,49.54391698934923,car,car,0.057777777777777775
48,1546293811.0,1546293811.0,52.40659859051528,32.72246129420294,car,car,0.05277777777777778
49,1546293601.0,1546293601.0,46.19595519960462,42.83524873603723,bus,bus,0.036944444444444446
50,1546293661.0,1546293661.0,40.00919603284025,46.0813468411624,bus,bus,0.07444444444444444
51,1546293721.0,1546293721.0,49.916718721294245,70.30708869802328,bus,bus,0.07111111111111111
52,1546293781.0,1546293781.0,62.435708108842974,40.32426998168151,bus,bus,-0.013055555555555556
53,1546293601.0,1546293601.0,47.71476045463927,49.877512739867164,car,car,0.019166666666666665
54,1546293631.0,1546293631.0,38.87861825450983,40.17427843955005,car,car,0.01861111111111111
55,1546293661.0,1546293661.0,48.35798638606959,55.67625172556329,car,car,0.02
56,1546293691.0,1546293691.0,46.015928037217776,51.325764555809364,car,car,0.01972222222222222
57,1546293721.0,1546293721.0,57.17657304471735,46.007732498787064,car,car,0.021388888888888888
58,1546293751.0,1546293751.0,59.0140230798556,47.58121057464691,car,car,0.0175
59,1546293781.0,1546293781.0,57.38807758891628,50.15595125999002,car,car,0.012777777777777779
60,1546293811.0,1546293811.0,52.162503195546485,53.5286609658202,car,car,0.012777777777777779
61,1546293601.0,1546293601.0,48.58808503385667,57.14227202642944,bus,bus,0.019166666666666665
