id,departureTs,departureTs_c,VOT,VOT_c,type,type_c,TravelTimeDifference(h)
1,1546293600.0,1546293600.0,52.38190218310346,59.08857663372924,car,car,0.018333333333333333
2,1546293601.0,1546293601.0,52.45632635460677,55.23915494430561,car,car,0.018333333333333333
3,1546293602.0,1546293602.0,64.5040730134529,34.80211490313156,car,car,0.018055555555555554
4,1546293603.0,1546293603.0,41.39210783702469,35.420897879648514,car,car,0.018055555555555554
5,1546293604.0,1546293604.0,37.10550982958087,54.41156170779064,car,car,0.017777777777777778
6,1546293605.0,1546293605.0,55.26982433457094,50.9035844858465,car,car,0.0175
7,1546293606.0,1546293606.0,49.47653990197463,38.54603720007682,bus,bus,0.0175
8,1546293607.0,1546293607.0,39.13174508844439,49.70964354179535,car,car,0.019166666666666665
9,1546293608.0,1546293608.0,43.411159071433325,47.20430353332039,car,car,0.019166666666666665
10,1546293609.0,1546293609.0,55.05055819659469,62.027669619076356,car,car,0.01888888888888889
11,1546293610.0,1546293610.0,51.66664113793826,45.282542791073176,car,car,0.01888888888888889
12,1546293611.0,1546293611.0,51.090451421198026,34.321070781278166,car,car,0.019166666666666665
13,1546293612.0,1546293612.0,46.088658795109374,38.488893013119736,car,car,0.019166666666666665
14,1546293613.0,1546293613.0,59.44055347122867,56.280106099905986,bus,bus,0.019166666666666665
15,1546293614.0,1546293614.0,46.685913924663176,51.10280208841749,car,car,0.03916666666666667
16,1546293615.0,1546293615.0,64.45365868826212,44.58704674615149,car,car,-0.0077777777777777776
17,1546293616.0,1546293616.0,39.33759745074836,45.219130772814495,car,car,0.03916666666666667
18,1546293617.0,1546293617.0,51.53581318325302,63.04546326197933,car,car,-0.008333333333333333
19,1546293618.0,1546293618.0,39.761055208652564,28.67467602815448,bus,bus,0.036944444444444446
20,1546293619.0,1546293619.0,48.57033743577715,60.305840611495206,bus,bus,0.036944444444444446
21,1546293620.0,1546293620.0,47.50109039112403,39.568001121672395,car,car,0.03972222222222222
22,1546293621.0,1546293621.0,48.06733715121724,66.0482767308504,car,car,0.04
23,1546293622.0,1546293622.0,52.45083316851938,40.22040241918101,car,car,0.0005555555555555556
24,1546293623.0,1546293623.0,54.87404128439649,47.31974459748547,car,car,0.0005555555555555556
25,1546293624.0,1546293624.0,40.18117238245896,56.97563131339924,bus,bus,0.02666666666666667
26,1546293625.0,1546293625.0,48.51806004762723,55.88961016918908,bus,bus,0.027777777777777776
27,1546293626.0,1546293626.0,45.61176599341127,51.360336290199264,car,car,0.018055555555555554
28,1546293627.0,1546293627.0,36.66897556201687,51.15822421284156,car,car,0.017777777777777778
29,1546293628.0,1546293628.0,39.5519871799485,55.43509783455364,car,car,0.017777777777777778
30,1546293629.0,1546293629.0,44.53241488344983,27.063690244550482,car,car,0.017777777777777778
31,1546293630.0,1546293630.0,46.74652226349456,60.189766352173095,bus,bus,0.0175
32,1546293631.0,1546293631.0,45.69156137453684,50.167521986665264,bus,bus,0.017777777777777778
33,1546293632.0,1546293632.0,42.97168306117124,58.36790589179115,car,car,0.021388888888888888
34,1546293633.0,1546293633.0,54.48865913840607,61.10808787844199,car,car,0.021111111111111112
35,1546293634.0,1546293634.0,55.5377303715131,49.62068029645879,car,car,0.021388888888888888
36,1546293635.0,1546293635.0,40.00183718998966,43.49506755129708,car,car,0.021388888888888888
37,1546293636.0,1546293636.0,62.2308959317318,49.18439150843872,bus,bus,0.021388888888888888
38,1546293637.0,1546293637.0,61.31447979725366,31.96867494558317,bus,bus,0.021388888888888888
39,1546293638.0,1546293638.0,55.81823264632733,22.775003926137064,car,car,-0.008611111111111111
40,1546293639.0,1546293639.0,45.60303487571938,43.28736906295332,car,car,0.02361111111111111
41,1546293640.0,1546293640.0,49.26694813030182,37.932988743531105,car,car,0.02361111111111111
42,1546293641.0,1546293641.0,62.43972800261223,43.76227453841072,car,car,-0.008333333333333333
43,1546293642.0,1546293642.0,53.04550364858446,30.265759789799375,car,car,-0.008333333333333333
44,1546293643.0,1546293643.0,47.579979409332005,52.34760307523667,car,car,0.024166666666666666
45,1546293644.0,1546293644.0,46.236293787914235,37.69297981784201,car,car,0.024444444444444446
46,1546293645.0,1546293645.0,40.20655199564013,50.68333106138267,car,car,0.024166666666666666
47,1546293646.0,1546293646.0,45.25903363690642,57.59896561961699,bus,bus,0.021111111111111112
48,1546293647.0,1546293647.0,41.607913841834645,51.493968692279154,bus,bus,0.021666666666666667
49,1546293648.0,1546293648.0,42.17338134019877,48.764669966982154,car,car,0.02638888888888889
50,1546293649.0,1546293649.0,55.5993885490967,51.893562007303075,car,car,0.026111111111111113
51,1546293650.0,1546293650.0,49.01723189715846,62.44023267939764,car,car,0.026111111111111113
52,1546293651.0,1546293651.0,50.04173602221739,52.63361288075002,car,car,0.026111111111111113
53,1546293652.0,1546293652.0,53.53772031777237,40.795256707315616,car,car,0.025833333333333333
54,1546293653.0,1546293653.0,51.09170939143037,51.41910598261164,car,car,0.026111111111111113
55,1546293654.0,1546293654.0,43.06321411883373,56.36506216593667,car,car,0.02638888888888889
56,1546293655.0,1546293655.0,46.546755849330815,45.980716600884854,car,car,0.026111111111111113
57,1546293656.0,1546293656.0,60.16012921002829,62.57589420248166,bus,bus,-0.008611111111111111
58,1546293657.0,1546293657.0,42.015122663284345,45.26565240498172,bus,bus,0.025833333333333333
59,1546293658.0,1546293658.0,45.01022044757563,54.37567634774374,car,car,0.02722222222222222
60,1546293659.0,1546293659.0,46.88956355915687,62.96811823561312,car,car,0.02722222222222222
