id,departureTs,departureTs_c,VOT,VOT_c,type,type_c,TravelTimeDifference(h)
1,1546293600.0,1546293600.0,48.44256378776916,50.672892814679166,car,car,0.02722222222222222
2,1546293601.0,1546293601.0,55.73287907544417,45.8815320937848,car,car,0.0275
3,1546293602.0,1546293602.0,58.05655329262762,59.77006812891291,car,car,0.0275
4,1546293603.0,1546293603.0,43.06164655364175,54.79851168819413,car,car,0.0275
5,1546293604.0,1546293604.0,46.926741755138266,58.54128453381939,car,car,0.0275
6,1546293605.0,1546293605.0,42.08948538031591,68.49244194845275,car,car,0.0275
7,1546293606.0,1546293606.0,46.51787904509363,47.93607741577681,car,car,0.0275
8,1546293607.0,1546293607.0,53.77091104077657,67.23956151750713,car,car,0.0275
9,1546293608.0,1546293608.0,56.34604473030722,41.04625254794298,car,car,0.0275
10,1546293609.0,1546293609.0,47.02801735184071,46.61742511306601,car,car,0.0275
11,1546293610.0,1546293610.0,49.69591732638348,15.58348131686801,car,car,0.027777777777777776
12,1546293611.0,1546293611.0,63.04423132656012,56.9605554492631,car,car,0.0275
13,1546293612.0,1546293612.0,36.53735114853169,52.03880104841538,car,car,0.0275
14,1546293613.0,1546293613.0,54.915718988771076,45.05399960178979,car,car,0.0275
15,1546293614.0,1546293614.0,47.62763683859773,56.31885204120586,car,car,0.0275
16,1546293615.0,1546293615.0,28.603063221169492,45.87564173021715,car,car,0.02722222222222222
17,1546293616.0,1546293616.0,68.79240990402798,52.78290108496505,car,car,0.02722222222222222
18,1546293617.0,1546293617.0,61.28174353666756,47.064175825405464,car,car,0.02722222222222222
19,1546293618.0,1546293618.0,43.20315129013203,58.21995127895839,bus,bus,0.02722222222222222
20,1546293619.0,1546293619.0,49.3271985738355,46.67815821594018,bus,bus,0.026944444444444444
21,1546293620.0,1546293620.0,57.29831690812954,61.17805725365553,bus,bus,0.026944444444444444
22,1546293621.0,1546293621.0,54.008434942363394,64.68684522814134,car,car,0.024722222222222222
23,1546293622.0,1546293622.0,56.08788218931479,37.18475340174489,car,car,0.025
24,1546293623.0,1546293623.0,65.64474430338,44.9028285374831,car,car,0.025
25,1546293624.0,1546293624.0,70.79346774592813,42.295314678615775,car,car,0.025
26,1546293625.0,1546293625.0,48.04324879450843,64.73377580867712,car,car,0.025277777777777777
27,1546293626.0,1546293626.0,44.913051206877405,42.582976842701285,car,car,0.025277777777777777
28,1546293627.0,1546293627.0,43.72023459704255,49.24436002738106,car,car,0.025
29,1546293628.0,1546293628.0,39.346860250036336,50.89583796527369,car,car,0.025
30,1546293629.0,1546293629.0,51.293282684621765,47.94948706001972,car,car,0.025
31,1546293630.0,1546293630.0,42.35696872535231,55.26930364240497,car,car,0.025
32,1546293631.0,1546293631.0,45.30577132586221,55.69753119260157,car,car,0.025
33,1546293632.0,1546293632.0,57.65989129932619,40.24082687444846,car,car,0.025
34,1546293633.0,1546293633.0,59.256019415351005,53.527524104471425,car,car,0.025
35,1546293634.0,1546293634.0,48.6715198622916,58.7470943107256,car,car,0.025
36,1546293635.0,1546293635.0,42.165273361015295,46.40624776565553,car,car,0.025
37,1546293636.0,1546293636.0,54.564634842797645,46.71116406267144,car,car,0.025
38,1546293637.0,1546293637.0,55.30992160523737,63.92188513304883,car,car,0.025
39,1546293638.0,1546293638.0,51.21595840069436,39.218023653552976,car,car,0.024722222222222222
40,1546293639.0,1546293639.0,43.90011358276751,38.940106663731406,bus,bus,0.025
41,1546293640.0,1546293640.0,41.36439778730726,44.58477546482584,bus,bus,0.025
42,1546293641.0,1546293641.0,59.009657763728,30.60203429719527,bus,bus,0.025
43,1546293642.0,1546293642.0,25.999622629912253,54.861680028250504,car,car,0.04666666666666667
44,1546293643.0,1546293643.0,61.63959485878061,45.60114999981811,car,car,-0.03388888888888889
45,1546293644.0,1546293644.0,57.83199678432605,32.76710218074389,car,car,-0.004166666666666667
46,1546293645.0,1546293645.0,44.554251143730895,56.7930526267662,car,car,0.04611111111111111
47,1546293646.0,1546293646.0,52.52364306321631,62.53095501323339,car,car,-0.005
48,1546293647.0,1546293647.0,70.08443894864695,44.004535467918934,car,car,-0.005
49,1546293648.0,1546293648.0,46.41776339626152,61.22002501632639,car,car,0.04638888888888889
50,1546293649.0,1546293649.0,41.415083846577375,47.33181704735573,car,car,0.015277777777777777
51,1546293650.0,1546293650.0,51.297242313590445,45.76346662471646,car,car,-0.035277777777777776
52,1546293651.0,1546293651.0,59.46018120925784,26.700943860394773,car,car,-0.005555555555555556
53,1546293652.0,1546293652.0,54.48022379523344,50.67152651419068,car,car,-0.03611111111111111
54,1546293653.0,1546293653.0,56.94098049050177,41.891268120550514,car,car,-0.005833333333333334
55,1546293654.0,1546293654.0,39.50047473296735,41.735292766694265,bus,bus,0.042777777777777776
56,1546293655.0,1546293655.0,41.84644181169947,64.86380938762952,bus,bus,0.011666666666666667
57,1546293656.0,1546293656.0,42.23643167689755,44.925008333423236,bus,bus,0.042222222222222223
58,1546293657.0,1546293657.0,51.7617628570074,61.1826196757921,bus,bus,-0.03722222222222222
