id,type,driverType,maxSpeed,valueTime,probLaneChange,startTs,nodeOrigin_id,nodeDest_id,finishTs,laneType,currentLane_id,currentLaneProgress,timeBudget,changeLane
1,car,0,79,48.50981122785181,0.3,1546293601.0,12,1,1546293881.0,0,,,0.0,0
10,car,0,77,43.14471801997779,0.5,1546293601.0,12,1,1546293881.0,0,,,0.0,0
100,car,1,71,47.71785517895964,0.7,1546293601.0,5,12,1546293904.0,0,,,0.0,0
1000,car,1,73,50.75576871460882,0.8,1546294142.0,24,4,1546294547.0,1,,,0.0,0
1001,car,1,74,61.07966128356219,0.7,1546294143.0,24,4,1546294539.0,1,,,0.0,0
1002,car,0,77,46.24334348993805,0.3,1546294143.0,24,4,1546294726.0,0,,,0.0,0
1003,car,1,75,81.93371103084685,1.0,1546294143.0,24,4,1546294539.0,1,,,0.0,0
1004,car,0,71,70.06304016419568,0.1,1546294144.0,24,4,1546294539.0,1,,,0.0,0
1005,bus,0,55,50.95645842321247,0.3,1546294144.0,24,4,1546294539.0,1,,,0.0,0
1006,bus,1,40,57.32900796043569,0.7,1546294144.0,24,4,1546294539.0,1,,,0.0,0
1007,car,1,73,56.92097429105615,0.7,1546294145.0,4,24,1546294439.0,1,,,0.0,0
1008,car,0,72,40.94897324843042,0.1,1546294145.0,4,24,1546294625.0,0,,,0.0,0
1009,car,0,70,46.58015348918651,0.4,1546294146.0,4,24,1546294625.0,0,,,0.0,0
101,car,1,70,53.302646607744386,0.6,1546293601.0,5,12,1546293819.0,1,,,0.0,0
1010,car,0,77,55.97459737990172,0.2,1546294146.0,4,24,1546294440.0,1,,,0.0,0
1011,car,0,78,50.1898225565914,0.2,1546294146.0,4,24,1546294440.0,1,,,0.0,0
1012,car,1,77,39.75400853855369,1.0,1546294146.0,4,24,1546294625.0,0,,,0.0,0
1013,car,1,79,54.991472301461314,0.8,1546294147.0,4,24,1546294440.0,1,,,0.0,0
1014,car,1,79,55.84293870971665,0.6,1546294147.0,4,24,1546294440.0,1,,,0.0,0
1015,car,1,73,51.10995224813554,0.9,1546294147.0,4,24,1546294440.0,1,,,0.0,0
1016,car,0,76,42.18501028010852,0.4,1546294147.0,4,24,1546294625.0,0,,,0.0,0
1017,car,0,80,38.86830651196988,0.3,1546294148.0,4,24,1546294624.0,0,,,0.0,0
1018,car,1,72,63.72363761584403,0.8,1546294148.0,4,24,1546294439.0,1,,,0.0,0
1019,bus,1,40,59.91554788480393,0.7,1546294148.0,4,24,1546294439.0,1,,,0.0,0
102,car,1,76,51.39143885770687,1.0,1546293601.0,5,12,1546293819.0,1,,,0.0,0
1020,bus,1,43,48.17293102745647,0.8,1546294149.0,4,24,1546294611.0,0,,,0.0,0
1021,car,0,70,57.61421336969431,0.4,1546294149.0,24,5,1546294616.0,1,,,0.0,0
1022,car,1,76,62.653212763934974,0.7,1546294150.0,24,5,1546294616.0,1,,,0.0,0
1023,car,0,74,51.950722499910995,0.4,1546294150.0,24,5,1546294616.0,1,,,0.0,0
1024,car,1,73,56.40005011856407,0.6,1546294151.0,24,5,1546294614.0,1,,,0.0,0
1025,car,0,71,46.19170752830878,0.4,1546294152.0,24,5,1546295101.0,0,,,0.0,0
1026,car,0,77,41.10247890386799,0.3,1546294152.0,24,5,1546295101.0,0,,,0.0,0
1027,car,1,75,41.932979342375944,0.9,1546294152.0,24,5,1546295101.0,0,,,0.0,0
1028,car,1,73,55.911255680976915,0.9,1546294152.0,24,5,1546294617.0,1,,,0.0,0
1029,car,1,77,48.0672083930928,1.0,1546294153.0,24,5,1546295098.0,0,,,0.0,0
103,car,0,75,53.87801498054258,0.1,1546293601.0,5,12,1546293819.0,1,,,0.0,0
1030,car,1,80,55.92419847257609,0.7,1546294153.0,24,5,1546294616.0,1,,,0.0,0
1031,car,0,79,58.00664814326007,0.1,1546294153.0,24,5,1546294616.0,1,,,0.0,0
1032,car,0,72,31.096280004432064,0.3,1546294153.0,24,5,1546295098.0,0,,,0.0,0
1033,bus,1,46,47.79766288374915,0.9,1546294154.0,24,5,1546294804.0,0,,,0.0,0
1034,bus,0,58,44.350258771134534,0.3,1546294154.0,24,5,1546294804.0,0,,,0.0,0
1035,car,0,79,54.10793224441609,0.2,1546294155.0,5,24,1546294768.0,0,,,0.0,0
1036,car,0,80,61.223499324293186,0.2,1546294155.0,5,24,1546294768.0,0,,,0.0,0
1037,car,0,75,52.412268217354864,0.0,1546294156.0,5,24,1546294767.0,0,,,0.0,0
1038,car,1,72,54.96538664092845,0.6,1546294156.0,5,24,1546294767.0,0,,,0.0,0
1039,car,0,70,56.5679259531031,0.4,1546294156.0,5,24,1546294767.0,0,,,0.0,0
104,car,1,77,63.17694789624316,1.0,1546293601.0,5,12,1546293819.0,1,,,0.0,0
1040,car,0,80,49.11898148422133,0.4,1546294157.0,5,24,1546294728.0,0,,,0.0,0
1041,car,0,72,70.88787086582602,0.3,1546294157.0,5,24,1546294500.0,1,,,0.0,0
1042,car,1,75,57.737601900420174,0.9,1546294157.0,5,24,1546294500.0,1,,,0.0,0
1043,car,0,76,57.2381753259185,0.3,1546294157.0,5,24,1546294500.0,1,,,0.0,0
1044,car,0,78,54.71965744755887,0.0,1546294157.0,5,24,1546294500.0,1,,,0.0,0
1045,car,0,73,50.04201487872051,0.0,1546294158.0,5,24,1546294500.0,1,,,0.0,0
1046,car,0,78,46.16285435668722,0.2,1546294158.0,5,24,1546294728.0,0,,,0.0,0
1047,bus,1,53,40.80793153040865,0.7,1546294158.0,5,24,1546294733.0,0,,,0.0,0
1048,bus,1,55,57.30695838608279,0.6,1546294158.0,5,24,1546294500.0,1,,,0.0,0
1049,car,0,71,56.0053746207357,0.2,1546294159.0,24,18,1546294717.0,0,,,0.0,0
105,car,1,77,47.31238231469875,1.0,1546293601.0,5,12,1546293904.0,0,,,0.0,0
1050,car,0,75,60.13538039035524,0.4,1546294159.0,24,18,1546294717.0,0,,,0.0,0
1051,car,1,72,73.451385977976,1.0,1546294160.0,24,18,1546294717.0,0,,,0.0,0
1052,car,0,80,40.84889815969298,0.3,1546294160.0,24,18,1546294717.0,0,,,0.0,0
1053,car,0,74,56.680648189148926,0.3,1546294160.0,24,18,1546294717.0,0,,,0.0,0
1054,car,1,74,60.23157703534832,0.8,1546294161.0,24,18,1546294719.0,0,,,0.0,0
1055,car,1,73,49.474245304306216,0.6,1546294161.0,24,18,1546294719.0,0,,,0.0,0
1056,car,1,72,45.20503353316141,0.8,1546294162.0,24,18,1546294719.0,0,,,0.0,0
1057,car,1,76,69.40636910045107,0.9,1546294162.0,24,18,1546294719.0,0,,,0.0,0
1058,car,1,79,39.5787432857819,1.0,1546294163.0,24,18,1546294719.0,0,,,0.0,0
1059,car,1,75,43.684296249389426,0.9,1546294164.0,24,18,1546294717.0,0,,,0.0,0
106,car,1,72,52.02009921850428,0.9,1546293601.0,5,12,1546293819.0,1,,,0.0,0
1060,car,0,80,52.240495766847026,0.2,1546294164.0,24,18,1546294717.0,0,,,0.0,0
1061,bus,1,54,46.05368956411565,0.7,1546294165.0,24,18,1546294820.0,0,,,0.0,0
1062,bus,0,43,44.054879681895514,0.0,1546294166.0,24,18,1546294705.0,0,,,0.0,0
1063,car,0,80,32.802571833691864,0.4,1546294166.0,18,24,1546294764.0,0,,,0.0,0
1064,car,1,71,51.232978571363304,0.6,1546294166.0,18,24,1546294612.0,1,,,0.0,0
1065,car,0,70,64.29704434608007,0.4,1546294166.0,18,24,1546294612.0,1,,,0.0,0
1066,car,1,77,37.347472259914795,0.8,1546294167.0,18,24,1546294763.0,0,,,0.0,0
1067,car,0,72,53.397233137273965,0.2,1546294168.0,18,24,1546294612.0,1,,,0.0,0
1068,car,0,79,54.12624738562645,0.3,1546294168.0,18,24,1546294612.0,1,,,0.0,0
1069,car,0,77,47.59910412908937,0.5,1546294168.0,18,24,1546294764.0,0,,,0.0,0
107,car,1,75,45.68223741959898,0.9,1546293601.0,5,12,1546293904.0,0,,,0.0,0
1070,car,0,79,69.10468035929661,0.3,1546294168.0,18,24,1546294612.0,1,,,0.0,0
1071,car,1,71,42.674104317142564,1.0,1546294168.0,18,24,1546294764.0,0,,,0.0,0
1072,car,0,71,63.42061977724487,0.3,1546294168.0,18,24,1546294612.0,1,,,0.0,0
1073,car,0,70,60.25723279917727,0.4,1546294168.0,18,24,1546294612.0,1,,,0.0,0
1074,car,1,75,67.14631847458503,0.7,1546294169.0,18,24,1546294612.0,1,,,0.0,0
1075,bus,0,57,33.23657635468166,0.2,1546294169.0,18,24,1546294765.0,0,,,0.0,0
1076,bus,0,45,47.38839645662381,0.0,1546294169.0,18,24,1546294765.0,0,,,0.0,0
1077,car,1,70,52.26109807604514,0.9,1546294170.0,21,1,1546294683.0,1,,,0.0,0
1078,car,0,70,53.16386733173969,0.0,1546294171.0,21,1,1546294937.0,1,,,0.0,0
1079,car,0,73,50.14034670207116,0.4,1546294171.0,21,1,1546294937.0,1,,,0.0,0
108,car,0,73,35.16519409309464,0.3,1546293601.0,5,12,1546293904.0,0,,,0.0,0
1080,car,0,75,60.70331597808317,0.0,1546294171.0,21,1,1546294937.0,1,,,0.0,0
1081,car,0,78,47.5532606244327,0.0,1546294171.0,21,1,1546297623.0,0,,,0.0,0
1082,car,0,72,57.299954022522726,0.4,1546294172.0,21,1,1546294910.0,1,,,0.0,0
1083,car,1,79,45.04341319703456,0.8,1546294172.0,21,1,1546297480.0,0,,,0.0,0
1084,car,0,71,48.06708996693996,0.1,1546294173.0,21,1,1546297390.0,0,,,0.0,0
1085,bus,1,59,58.14038903268726,0.8,1546294174.0,21,1,1546294937.0,1,,,0.0,0
1086,bus,0,43,56.32643857041668,0.4,1546294175.0,21,1,1546294937.0,1,,,0.0,0
1087,bus,0,50,40.00981190792021,0.4,1546294175.0,21,1,1546295279.0,0,,,0.0,0
1088,bus,1,40,54.95059483049765,0.7,1546294176.0,21,1,1546294937.0,1,,,0.0,0
1089,car,0,76,47.748059553147264,0.2,1546294176.0,1,21,1546295090.0,0,,,0.0,0
109,car,0,80,45.25452938699874,0.0,1546293601.0,5,12,1546293904.0,0,,,0.0,0
1090,car,0,72,51.68058611967313,0.4,1546294176.0,1,21,1546294683.0,1,,,0.0,0
1091,car,0,73,45.66049213550928,0.5,1546294176.0,1,21,1546295090.0,0,,,0.0,0
1092,car,0,73,39.253323443261664,0.5,1546294177.0,1,21,1546295095.0,0,,,0.0,0
1093,car,1,75,51.66545464568602,0.7,1546294177.0,1,21,1546295095.0,0,,,0.0,0
1094,car,1,74,51.693175822248065,0.9,1546294177.0,1,21,1546295095.0,0,,,0.0,0
1095,car,1,78,49.9320394025128,0.7,1546294177.0,1,21,1546295095.0,0,,,0.0,0
1096,car,1,80,50.163750866757645,0.6,1546294177.0,1,21,1546295095.0,0,,,0.0,0
1097,bus,0,43,49.71993531798107,0.1,1546294177.0,1,21,1546295095.0,0,,,0.0,0
1098,bus,1,55,61.688141739499606,0.7,1546294177.0,1,21,1546295095.0,0,,,0.0,0
1099,bus,0,49,63.15881006182916,0.5,1546294178.0,1,21,1546295089.0,0,,,0.0,0
11,car,1,74,53.59022692872553,0.7,1546293601.0,12,1,1546293881.0,0,,,0.0,0
110,car,0,72,54.09405859950441,0.4,1546293601.0,5,12,1546293819.0,1,,,0.0,0
1100,bus,1,46,57.41083925544521,0.7,1546294179.0,1,21,1546294655.0,1,,,0.0,0
1101,car,1,79,42.26154567865618,0.8,1546294179.0,21,2,1546295025.0,0,,,0.0,0
1102,car,0,74,57.52722764038518,0.5,1546294179.0,21,2,1546294818.0,1,,,0.0,0
1103,car,1,77,36.87869735159466,0.7,1546294179.0,21,2,1546295025.0,0,,,0.0,0
1104,car,0,78,57.66239250204452,0.2,1546294180.0,21,2,1546294818.0,1,,,0.0,0
1105,car,1,73,38.037289406566366,1.0,1546294180.0,21,2,1546295025.0,0,,,0.0,0
1106,car,0,73,56.460005325175395,0.4,1546294180.0,21,2,1546294818.0,1,,,0.0,0
1107,car,0,78,43.79820325564445,0.1,1546294180.0,21,2,1546295025.0,0,,,0.0,0
1108,car,0,74,38.79194692316846,0.2,1546294180.0,21,2,1546295025.0,0,,,0.0,0
1109,car,1,80,44.10909137111283,0.8,1546294181.0,21,2,1546295007.0,0,,,0.0,0
111,car,1,76,53.74099290930623,1.0,1546293601.0,5,12,1546293819.0,1,,,0.0,0
1110,car,0,71,53.535871369446824,0.3,1546294181.0,21,2,1546294706.0,1,,,0.0,0
1111,car,1,78,46.23460570623896,0.8,1546294181.0,21,2,1546295007.0,0,,,0.0,0
1112,car,0,72,60.80179902994644,0.0,1546294182.0,21,2,1546294817.0,1,,,0.0,0
1113,car,1,72,31.050616649611904,0.7,1546294183.0,21,2,1546295025.0,0,,,0.0,0
1114,car,1,71,51.24011849821719,0.9,1546294183.0,21,2,1546294818.0,1,,,0.0,0
1115,car,0,80,56.896458934624064,0.4,1546294183.0,21,2,1546294818.0,1,,,0.0,0
1116,car,1,74,33.5778012025298,1.0,1546294183.0,21,2,1546295025.0,0,,,0.0,0
1117,bus,1,40,35.59940823584511,0.6,1546294184.0,21,2,1546295006.0,0,,,0.0,0
1118,bus,1,58,47.319471236447846,1.0,1546294184.0,21,2,1546295006.0,0,,,0.0,0
1119,bus,0,48,49.001858644560464,0.2,1546294184.0,21,2,1546295006.0,0,,,0.0,0
112,car,0,76,59.23320504570248,0.4,1546293601.0,5,12,1546293819.0,1,,,0.0,0
1120,bus,1,48,45.02269754660672,0.8,1546294184.0,21,2,1546295006.0,0,,,0.0,0
1121,car,1,71,56.372355484753605,0.7,1546294185.0,2,21,1546294687.0,1,,,0.0,0
1122,car,0,79,54.033401507171284,0.0,1546294186.0,2,21,1546294687.0,1,,,0.0,0
1123,car,0,73,36.91241141608057,0.2,1546294187.0,2,21,1546295021.0,0,,,0.0,0
1124,car,1,80,55.7232547426877,0.8,1546294188.0,2,21,1546294686.0,1,,,0.0,0
1125,car,1,70,60.90253097846454,0.6,1546294188.0,2,21,1546294686.0,1,,,0.0,0
1126,car,0,74,50.28000165058839,0.5,1546294188.0,2,21,1546294686.0,1,,,0.0,0
1127,car,1,73,51.63210032865644,0.7,1546294189.0,2,21,1546294687.0,1,,,0.0,0
1128,car,0,71,33.29524627339411,0.4,1546294189.0,2,21,1546294995.0,0,,,0.0,0
1129,car,1,73,58.40571831079223,1.0,1546294190.0,2,21,1546294687.0,1,,,0.0,0
113,bus,0,41,50.96575971670251,0.2,1546293601.0,5,12,1546293819.0,1,,,0.0,0
1130,car,0,76,60.124853149181234,0.3,1546294190.0,2,21,1546294687.0,1,,,0.0,0
1131,car,1,75,47.41865902715194,0.7,1546294190.0,2,21,1546295020.0,0,,,0.0,0
1132,car,0,74,49.2047548465065,0.1,1546294191.0,2,21,1546295015.0,0,,,0.0,0
1133,car,0,72,48.037560663816045,0.0,1546294191.0,2,21,1546295015.0,0,,,0.0,0
1134,car,1,77,45.50363331758023,0.8,1546294191.0,2,21,1546295015.0,0,,,0.0,0
1135,car,1,73,57.619426595888086,0.6,1546294191.0,2,21,1546294686.0,1,,,0.0,0
1136,car,0,77,37.950267479264966,0.2,1546294192.0,2,21,1546295015.0,0,,,0.0,0
1137,bus,0,57,35.09880374622556,0.2,1546294192.0,2,21,1546295020.0,0,,,0.0,0
