id,type,driverType,maxSpeed,valueTime,probLaneChange,startTs,nodeOrigin_id,nodeDest_id,finishTs,laneType,currentLane_id,currentLaneProgress,timeBudget,changeLane,TravelTime,TravelCost
253,bus,0,60,33.03604691,0.1,1546293601,21,18,1546294120,0,,,0,0,519,4.762696763
255,car,1,73,33.88878349,0.7,1546293601,18,21,1546294052,0,,,0,0,451,4.245511487
259,bus,0,41,53.3216542,0.1,1546293601,18,21,1546293936,1,,,0,0,335,4.961876155
261,car,0,70,43.14282746,0.5,1546293601,20,1,1546294320,0,,,0,0,719,8.616581373
265,bus,0,54,42.89189186,0.3,1546293601,20,1,1546294312,0,,,0,0,711,8.471148642
267,car,0,70,49.42688474,0.5,1546293601,1,20,1546294364,0,,,0,0,763,10.47575363
27,car,0,77,42.77544924,0.1,1546293601,12,4,1546293798,0,,,0,0,197,2.340767639
271,bus,0,51,44.62843197,0.5,1546293601,1,20,1546294276,0,,,0,0,675,8.367830995
273,car,0,80,64.55030801,0.3,1546293601,20,2,1546293923,1,,,0,0,322,5.773666439
277,bus,0,42,43.66465864,0,1546293601,20,2,1546294060,0,,,0,0,459,5.567243976
278,car,1,75,51.7572592,0.7,1546293601,2,20,1546293931,1,,,0,0,330,4.744415427
282,bus,1,56,38.99929861,1,1546293601,2,20,1546294082,0,,,0,0,481,5.21073962
283,car,1,78,48.78646283,1,1546293601,20,4,1546294188,0,,,0,0,587,7.9549038
290,bus,1,54,55.02623041,0.9,1546293601,20,4,1546293986,1,,,0,0,385,5.884749641
292,car,0,72,54.65404538,0,1546293601,4,20,1546293971,1,,,0,0,370,5.61722133
299,bus,1,54,65.94981098,0.8,1546293601,4,20,1546293971,1,,,0,0,370,6.778175017
301,car,1,80,33.53373919,0.6,1546293601,20,5,1546294101,0,,,0,0,500,4.657463776
309,bus,1,50,40.69817099,0.9,1546293601,20,5,1546294088,0,,,0,0,487,5.505558131
31,bus,0,56,57.35637051,0,1546293601,12,4,1546293798,0,,,0,0,197,3.138668053
310,car,1,74,38.66694799,0.6,1546293601,5,20,1546294098,0,,,0,0,497,5.338186987
318,bus,0,45,64.04147843,0.4,1546293601,5,20,1546294098,0,,,0,0,497,8.841281883
319,car,1,78,54.88334652,0.7,1546293601,20,18,1546293866,0,,,0,0,265,4.040024119
327,bus,0,58,41.10280081,0.1,1546293601,20,18,1546293866,0,,,0,0,265,3.025622838
328,car,1,77,43.75981589,1,1546293601,18,20,1546293866,0,,,0,0,265,3.221208669
33,car,0,72,46.91434176,0.1,1546293601,4,12,1546293808,0,,,0,0,207,2.697574651
336,bus,1,58,58.76199532,0.9,1546293601,18,20,1546293866,0,,,0,0,265,4.325535766
37,bus,0,50,69.68773767,0,1546293601,4,12,1546293808,0,,,0,0,207,4.007044916
39,car,0,79,38.48411861,0.3,1546293601,12,5,1546293884,0,,,0,0,283,3.025279324
47,bus,1,57,45.10803839,0.6,1546293601,12,5,1546293877,0,,,0,0,276,3.458282943
49,car,0,77,62.25248499,0,1546293601,5,12,1546293791,1,,,0,0,190,3.285547819
57,bus,0,41,51.46499747,0.5,1546293601,5,12,1546293791,1,,,0,0,190,2.7162082
59,car,1,71,45.79952985,0.9,1546293601,12,18,1546293966,0,,,0,0,365,4.643563444
65,bus,0,58,45.52056572,0.3,1546293601,12,18,1546293966,0,,,0,0,365,4.61527958
67,car,1,74,52.81143872,1,1546293601,18,12,1546293852,1,,,0,0,251,3.682130867
7,bus,0,51,46.10853238,0.3,1546293601,12,1,1546293791,0,,,0,0,190,2.433505876
73,bus,0,60,51.60120286,0,1546293601,18,12,1546293852,1,,,0,0,251,3.597750533
75,car,1,75,50.10064553,0.8,1546293601,13,1,1546293908,1,,,0,0,307,4.272471716
79,bus,1,48,45.99368652,0.9,1546293601,13,1,1546294036,0,,,0,0,435,5.557570455
8,car,1,72,42.71748364,0.9,1546293601,1,12,1546293836,0,,,0,0,235,2.788502404
81,car,1,74,52.69695874,0.9,1546293601,1,13,1546294115,0,,,0,0,514,7.523954664
85,bus,1,42,57.56362994,0.6,1546293601,1,13,1546294115,0,,,0,0,514,8.218807164
87,car,1,71,62.58710105,1,1546293601,13,2,1546294110,1,,,0,0,509,8.849120676
95,bus,0,50,33.20720724,0.4,1546293601,13,2,1546294238,0,,,0,0,637,5.875830837
97,car,0,80,55.41525731,0,1546293601,2,13,1546294108,1,,,0,0,507,7.804315405
302,car,0,80,54.46025027,0.5,1546293631,20,5,1546293990,1,,,0,0,359,5.43089718
311,car,1,75,39.78665433,1,1546293631,5,20,1546294101,0,,,0,0,470,5.194368759
320,car,0,75,60.81708124,0.4,1546293631,20,18,1546293896,0,,,0,0,265,4.476812924
329,car,0,74,62.89992888,0.3,1546293631,18,20,1546293896,0,,,0,0,265,4.630133653
40,car,0,77,55.44587805,0.5,1546293631,12,5,1546293808,1,,,0,0,177,2.726089004
50,car,0,75,59.18708566,0.1,1546293631,5,12,1546293813,1,,,0,0,182,2.992235997
