id,departureTs,departureTs_c,VOT,VOT_c,type,type_c,TravelTimeDifference(h)
1,1546293746.0,1546293746.0,43.95265518154814,47.521836124368505,car,car,0.01611111111111111
2,1546293747.0,1546293747.0,46.51808182612463,61.2665797755901,car,car,0.013888888888888888
3,1546293808.0,1546293808.0,53.45523334005921,45.49408474402749,car,car,0.01611111111111111
4,1546293608.0,1546293608.0,53.66915296888218,59.168881294813346,car,car,0.015833333333333335
5,1546293619.0,1546293619.0,32.36342068737963,55.95296884632571,car,car,0.014722222222222222
6,1546293707.0,1546293707.0,44.35592619592928,51.5355142294968,car,car,0.013888888888888888
7,1546293707.0,1546293707.0,46.92994552337381,57.37112593132804,car,car,0.013888888888888888
8,1546293644.0,1546293644.0,55.62481521876652,44.36017561561311,car,car,0.012777777777777779
9,1546293634.0,1546293634.0,37.87494831095873,34.65576981520748,car,car,0.013055555555555556
10,1546293757.0,1546293757.0,51.11591286088883,69.44678890417816,car,car,0.012777777777777779
11,1546293601.0,1546293601.0,60.579844441071785,38.09222405196917,car,car,0.01638888888888889
12,1546293832.0,1546293832.0,68.09037210864338,50.06433995531145,car,car,0.014722222222222222
13,1546293680.0,1546293680.0,57.45628560851041,53.29416318700805,car,car,0.013333333333333334
14,1546293720.0,1546293720.0,53.41748948340373,31.574284671209384,car,car,0.014444444444444444
15,1546293640.0,1546293640.0,44.097985919852476,41.032685591236365,car,car,0.012777777777777779
16,1546293609.0,1546293609.0,61.22067483568037,49.93943734459346,car,car,0.015555555555555555
17,1546293809.0,1546293809.0,40.96246436567818,42.132875616651305,car,car,0.015555555555555555
18,1546293836.0,1546293836.0,68.4887528193771,39.80733402721723,car,car,0.01638888888888889
19,1546293745.0,1546293745.0,45.61177142486423,67.7036023520854,bus,bus,0.01611111111111111
20,1546293798.0,1546293798.0,46.744342171072795,44.94142154587701,bus,bus,0.015555555555555555
21,1546293806.0,1546293806.0,61.099356931545884,48.375623425092584,bus,bus,0.015833333333333335
22,1546293706.0,1546293706.0,45.17550675297669,51.24710624813144,car,car,0.043611111111111114
23,1546293670.0,1546293670.0,49.99339213915727,38.324859469151114,car,car,0.04055555555555555
24,1546293668.0,1546293668.0,47.36325825749497,58.020924638623974,car,car,0.04083333333333333
25,1546293769.0,1546293769.0,63.37194409390663,75.62381304357136,car,car,0.05527777777777778
26,1546293722.0,1546293722.0,78.7796438015543,55.422430032487334,car,car,0.04666666666666667
27,1546293657.0,1546293657.0,40.7780773498175,35.63598355305902,car,car,0.03888888888888889
28,1546293829.0,1546293829.0,59.36141059521604,40.01759234768584,car,car,0.0825
