TravelCost/s,TravelCost/h,TravelTime/s,TravelTime/h
10615.343576421423,2.948706549005951,214.0,0.059444444444444446
8981.417443453436,2.4948381787370657,218.0,0.06055555555555556
9999.47251831506,2.777631255087517,223.0,0.06194444444444445
12126.327187366313,3.368424218712865,229.0,0.0636111111111111
11541.823225122394,3.206062006978443,230.0,0.06388888888888888
4842.38400543051,1.3451066681751418,236.0,0.06555555555555556
14899.441760876969,4.1387338224658246,241.0,0.06694444444444445
9685.15360308934,2.6903204453025946,239.0,0.06638888888888889
9247.676474798349,2.5687990207773193,237.0,0.06583333333333333
9839.963120828324,2.733323089118979,236.0,0.06555555555555556
9484.639197758619,2.6346219993773943,238.0,0.0661111111111111
10012.737409594589,2.781315947109608,239.0,0.06638888888888889
9461.98547157141,2.628329297658725,239.0,0.06638888888888889
17487.405594474832,4.857612665131898,243.0,0.0675
11181.883216737207,3.106078671315891,243.0,0.0675
9660.928847392563,2.683591346497934,246.0,0.06833333333333333
11942.810564871555,3.3174473791309875,246.0,0.06833333333333333
11479.935334912636,3.188870926364621,240.0,0.06666666666666667
11001.936309405666,3.056093419279352,214.0,0.059444444444444446
13545.776623761967,3.762715728822769,240.0,0.06666666666666667
11300.226489827479,3.138951802729855,242.0,0.06722222222222222
15804.83502587083,4.390231951630787,281.0,0.07805555555555556
16043.660033955755,4.456572231654376,288.0,0.08
17783.64493653702,4.939901371260284,303.0,0.08416666666666667
14320.562076446538,3.9779339101240385,325.0,0.09027777777777778
16074.88137741484,4.465244827059678,340.0,0.09444444444444444
11407.738438735314,3.1688162329820315,362.0,0.10055555555555555
17607.119673734443,4.890866576037346,377.0,0.10472222222222222
21600.85273649884,6.000236871249678,389.0,0.10805555555555556
17692.892512352788,4.914692364542441,423.0,0.1175
16144.169788497245,4.484491607915902,430.0,0.11944444444444445
27965.445321799893,7.768179256055526,448.0,0.12444444444444444
26039.074122416856,7.233076145115794,457.0,0.12694444444444444
21218.503147818465,5.894028652171796,472.0,0.13111111111111112
20541.870135237554,5.706075037565987,460.0,0.12777777777777777
25236.576400274756,7.0101601111874325,466.0,0.12944444444444445
17035.234925110082,4.732009701419467,463.0,0.12861111111111112
20144.69900190679,5.5957497227518855,483.0,0.13416666666666666
33350.21319392011,9.263948109422254,488.0,0.13555555555555557
18233.722142260624,5.064922817294618,281.0,0.07805555555555556
21107.91903601633,5.863310843337869,379.0,0.10527777777777778
23852.896360795465,6.625804544665407,468.0,0.13
21220.018780258175,5.8944496611828265,470.0,0.13055555555555556
15608.074822617917,4.335576339616088,478.0,0.13277777777777777
19691.19060985184,5.469775169403289,488.0,0.13555555555555557
19919.256579642428,5.533126827678452,305.0,0.08472222222222223
24069.275726280513,6.685909923966809,500.0,0.1388888888888889
16304.93303834753,4.5291480662076475,314.0,0.08722222222222223
20389.143927757937,5.663651091043872,496.0,0.13777777777777778
17778.160680610552,4.938377966836264,315.0,0.0875
19862.326078902675,5.517312799695188,311.0,0.08638888888888889
20762.824886481274,5.76745135735591,309.0,0.08583333333333333
17470.192903248066,4.852831362013352,502.0,0.13944444444444445
23331.666873516373,6.48101857597677,497.0,0.13805555555555554
20212.57579165184,5.6146043865699555,298.0,0.08277777777777778
15896.34477240824,4.415651325668955,298.0,0.08277777777777778
17600.72869780015,4.889091304944486,479.0,0.13305555555555557
22874.225809657284,6.35395161379369,313.0,0.08694444444444445
16948.799985442933,4.70799999595637,311.0,0.08638888888888889
23179.038032093657,6.4386216755815715,490.0,0.1361111111111111
33714.86765137906,9.365241014271962,758.0,0.21055555555555555
56566.45546715857,15.712904296432937,1543.0,0.4286111111111111
57295.1056079786,15.915307113327389,1827.0,0.5075
97718.0396660337,27.14389990723158,2102.0,0.5838888888888889
24868.17591149627,6.907826642082298,350.0,0.09722222222222222
19594.69901340979,5.442971948169387,387.0,0.1075
23445.63922053103,6.512677561258619,371.0,0.10305555555555555
118771.94893246512,32.992208036795866,3166.0,0.8794444444444445
18618.028091092227,5.171674469747841,368.0,0.10222222222222223
97938.27424522626,27.20507617922952,3426.0,0.9516666666666667
140601.954074816,39.056098354115555,3471.0,0.9641666666666666
178772.63592542303,49.65906553483973,3463.0,0.9619444444444445
20711.83670591234,5.7532879738645395,309.0,0.08583333333333333
19628.442947693078,5.452345263248077,340.0,0.09444444444444444
18416.507112247025,5.115696420068618,350.0,0.09722222222222222
21046.09880953676,5.846138558204656,371.0,0.10305555555555555
26587.110559309447,7.385308488697069,368.0,0.10222222222222223
175207.2528550534,48.668681348625945,3471.0,0.9641666666666666
12253.933987791406,3.4038705521642796,213.0,0.059166666666666666
8067.457657661365,2.2409604604614906,212.0,0.058888888888888886
10919.51010848081,3.0331972523557806,216.0,0.06
15055.403782268237,4.182056606185621,216.0,0.06
14347.143190127712,3.985317552813253,219.0,0.060833333333333336
13504.299403443427,3.7511942787342853,221.0,0.06138888888888889
12527.709850266694,3.4799194028518596,226.0,0.06277777777777778
8561.34299910059,2.3781508330834975,226.0,0.06277777777777778
15002.86088513316,4.167461356981433,224.0,0.06222222222222222
12023.288848939676,3.3398024580387986,219.0,0.060833333333333336
10665.361566958507,2.962600435266252,219.0,0.060833333333333336
6902.339822834507,1.9173166174540297,221.0,0.06138888888888889
8160.001203373669,2.2666670009371304,213.0,0.059166666666666666
12877.571375992253,3.577103159997848,216.0,0.06
9738.893234004527,2.705248120556813,219.0,0.060833333333333336
8121.259523586935,2.255905423218593,226.0,0.06277777777777778
11213.361269846442,3.114822574957345,224.0,0.06222222222222222
12756.86199838742,3.543572777329839,219.0,0.060833333333333336
