id,departureTs,departureTs_c,VOT,VOT_c,type,type_c,TravelTimeDifference(h)
1,1546293601.0,1546293601.0,48.50981122785181,48.50981122785181,car,car,0.017777777777777778
2,1546293601.0,1546293601.0,52.06777170963957,52.06777170963957,car,car,0.017777777777777778
3,1546293601.0,1546293601.0,65.90367564601227,65.90367564601227,car,car,0.017777777777777778
4,1546293601.0,1546293601.0,57.28428276531477,57.28428276531477,car,car,0.017777777777777778
5,1546293601.0,1546293601.0,47.672840449700985,47.672840449700985,car,car,0.017777777777777778
6,1546293601.0,1546293601.0,47.53085833813724,47.53085833813724,car,car,0.017777777777777778
7,1546293601.0,1546293601.0,51.757662059191176,51.757662059191176,car,car,0.017777777777777778
8,1546293601.0,1546293601.0,39.657136742174174,39.657136742174174,car,car,0.017777777777777778
9,1546293601.0,1546293601.0,51.74656512254213,51.74656512254213,car,car,0.017777777777777778
10,1546293601.0,1546293601.0,43.14471801997779,43.14471801997779,car,car,0.017777777777777778
11,1546293601.0,1546293601.0,53.59022692872553,53.59022692872553,car,car,0.017777777777777778
12,1546293601.0,1546293601.0,53.259695910832455,53.259695910832455,car,car,0.017777777777777778
13,1546293601.0,1546293601.0,28.332894645986073,28.332894645986073,bus,bus,0.017777777777777778
14,1546293601.0,1546293601.0,61.58298847697259,61.58298847697259,bus,bus,0.017777777777777778
15,1546293601.0,1546293601.0,57.991571250318884,57.991571250318884,car,car,0.023333333333333334
16,1546293601.0,1546293601.0,71.66118996901827,71.66118996901827,car,car,0.023333333333333334
17,1546293601.0,1546293601.0,58.757561826296566,58.757561826296566,car,car,0.023333333333333334
18,1546293601.0,1546293601.0,54.512479751637706,54.512479751637706,car,car,0.023333333333333334
19,1546293601.0,1546293601.0,48.51061246735653,48.51061246735653,car,car,0.023333333333333334
20,1546293601.0,1546293601.0,38.86007114637924,38.86007114637924,car,car,0.023333333333333334
21,1546293601.0,1546293601.0,44.281186037448535,44.281186037448535,car,car,0.023333333333333334
22,1546293601.0,1546293601.0,56.740992368136965,56.740992368136965,car,car,0.023333333333333334
23,1546293601.0,1546293601.0,35.29086842301803,35.29086842301803,car,car,0.023333333333333334
24,1546293601.0,1546293601.0,48.92870333022068,48.92870333022068,car,car,0.023333333333333334
25,1546293601.0,1546293601.0,49.90116724953738,49.90116724953738,car,car,0.023333333333333334
26,1546293601.0,1546293601.0,37.032160541099834,37.032160541099834,car,car,0.023333333333333334
27,1546293601.0,1546293601.0,50.218688355051285,50.218688355051285,bus,bus,0.023333333333333334
28,1546293601.0,1546293601.0,58.34321960526634,58.34321960526634,bus,bus,0.023333333333333334
29,1546293601.0,1546293601.0,47.25230548736603,47.25230548736603,car,car,0.03638888888888889
30,1546293601.0,1546293601.0,40.89214988676621,40.89214988676621,car,car,0.03638888888888889
31,1546293601.0,1546293601.0,64.513002382037,64.513002382037,car,car,-0.03277777777777778
32,1546293601.0,1546293601.0,25.12757645674281,25.12757645674281,car,car,0.03638888888888889
33,1546293601.0,1546293601.0,40.83526143947146,40.83526143947146,car,car,0.03638888888888889
34,1546293601.0,1546293601.0,49.25640852393542,49.25640852393542,car,car,0.03638888888888889
35,1546293601.0,1546293601.0,49.50203627218468,49.50203627218468,car,car,0.03638888888888889
36,1546293601.0,1546293601.0,61.0885343786815,61.0885343786815,car,car,-0.03277777777777778
37,1546293601.0,1546293601.0,50.17104200031794,50.17104200031794,bus,bus,-0.03222222222222222
38,1546293601.0,1546293601.0,45.6465314775563,45.6465314775563,bus,bus,0.03638888888888889
39,1546293601.0,1546293601.0,47.047906176348995,47.047906176348995,bus,bus,0.03638888888888889
40,1546293601.0,1546293601.0,40.00567469829096,40.00567469829096,bus,bus,0.03638888888888889
41,1546293601.0,1546293601.0,44.39462531501954,44.39462531501954,car,car,0.02638888888888889
42,1546293601.0,1546293601.0,51.51590709814406,51.51590709814406,car,car,-0.011111111111111112
43,1546293601.0,1546293601.0,66.9238466107618,66.9238466107618,car,car,-0.011111111111111112
44,1546293601.0,1546293601.0,61.50291130736293,61.50291130736293,car,car,-0.011111111111111112
45,1546293601.0,1546293601.0,48.60483167446948,48.60483167446948,car,car,0.02638888888888889
46,1546293601.0,1546293601.0,46.12712390663526,46.12712390663526,car,car,0.02638888888888889
47,1546293601.0,1546293601.0,47.178908049996394,47.178908049996394,car,car,0.02638888888888889
48,1546293601.0,1546293601.0,67.96468311574195,67.96468311574195,car,car,-0.011111111111111112
49,1546293601.0,1546293601.0,63.92531911674277,63.92531911674277,bus,bus,-0.014444444444444444
50,1546293601.0,1546293601.0,55.394871011615926,55.394871011615926,bus,bus,-0.014444444444444444
51,1546293601.0,1546293601.0,58.06365325477767,58.06365325477767,bus,bus,-0.014444444444444444
52,1546293601.0,1546293601.0,45.693507930860015,45.693507930860015,bus,bus,0.01638888888888889
53,1546293601.0,1546293601.0,51.42591908554525,51.42591908554525,car,car,0.019444444444444445
54,1546293601.0,1546293601.0,55.81897425969643,55.81897425969643,car,car,0.019444444444444445
55,1546293601.0,1546293601.0,68.24495762141622,68.24495762141622,car,car,0.019444444444444445
56,1546293601.0,1546293601.0,43.89966290044664,43.89966290044664,car,car,0.019444444444444445
57,1546293601.0,1546293601.0,39.87799986011758,39.87799986011758,car,car,0.019444444444444445
58,1546293601.0,1546293601.0,40.840347939688876,40.840347939688876,car,car,0.019444444444444445
59,1546293601.0,1546293601.0,44.75264797821734,44.75264797821734,car,car,0.019444444444444445
60,1546293601.0,1546293601.0,61.59509909602651,61.59509909602651,car,car,0.019444444444444445
