TravelCost/s,TravelCost/h,TravelTime/s,TravelTime/h
8310.354421607382,2.3084317837798283,164.0,0.04555555555555556
7570.452795474492,2.1029035542984698,165.0,0.04583333333333333
9981.601377528455,2.7726670493134598,167.0,0.04638888888888889
9206.149963616614,2.5572638787823925,168.0,0.04666666666666667
9893.477086215478,2.7481880795042994,169.0,0.04694444444444444
11712.20757318542,3.2533909925515054,171.0,0.0475
8245.00531551361,2.290279254309336,172.0,0.04777777777777778
11632.444142528733,3.231234484035759,173.0,0.04805555555555555
7142.047943342078,1.9839022064839105,174.0,0.04833333333333333
8158.0493947865525,2.2661248318851537,175.0,0.04861111111111111
2727.1092304519016,0.7575303417921949,175.0,0.04861111111111111
10025.057759070305,2.784738266408418,176.0,0.04888888888888889
9210.867785569522,2.5585743848804228,177.0,0.049166666666666664
7974.557929516793,2.2151549804213313,177.0,0.049166666666666664
9968.436811293437,2.7690102253592883,177.0,0.049166666666666664
8165.864227978652,2.268295618882959,178.0,0.049444444444444444
9395.356393123779,2.6098212203121607,178.0,0.049444444444444444
8377.423296922172,2.3270620269228255,178.0,0.049444444444444444
10363.151327654594,2.8786531465707204,178.0,0.049444444444444444
8355.390320653292,2.3209417557370258,179.0,0.04972222222222222
10950.87224840434,3.041908957890094,179.0,0.04972222222222222
9961.774165133766,2.767159490314935,154.0,0.042777777777777776
5763.636777270458,1.6010102159084605,155.0,0.043055555555555555
7004.841251847364,1.945789236624268,156.0,0.043333333333333335
6640.364404542676,1.8445456679285213,157.0,0.043611111111111114
10163.202801962309,2.8231118894339744,157.0,0.043611111111111114
6728.110341146803,1.8689195392074454,158.0,0.04388888888888889
7829.853244353589,2.1749592345426634,159.0,0.04416666666666667
8143.334074443791,2.262037242901053,160.0,0.044444444444444446
7719.867416663175,2.144407615739771,161.0,0.04472222222222222
8843.088582784796,2.456413495217999,160.0,0.044444444444444446
8911.604990816251,2.475445830782292,160.0,0.044444444444444446
6478.773126786202,1.7996592018850561,161.0,0.04472222222222222
8564.403856715428,2.379001071309841,160.0,0.044444444444444446
9399.535089716097,2.6109819693655827,160.0,0.044444444444444446
7424.999642504885,2.0624999006958014,160.0,0.044444444444444446
7427.07508596476,2.063076412767989,159.0,0.04416666666666667
10163.579736154765,2.8232165933763236,159.0,0.04416666666666667
6274.883784568476,1.7430232734912432,160.0,0.044444444444444446
6152.536852869562,1.7090380146859894,158.0,0.04388888888888889
6999.809747977657,1.9443915966604604,157.0,0.043611111111111114
4804.519384659658,1.334588717961016,157.0,0.043611111111111114
19585.619770085428,5.440449936134841,357.0,0.09916666666666667
21113.332449915786,5.864814569421052,463.0,0.12861111111111112
11697.85547852557,3.2494042995904358,357.0,0.09916666666666667
20275.11978775553,5.6319777188209805,357.0,0.09916666666666667
22261.019984711085,6.1836166624197455,356.0,0.09888888888888889
15621.610091111223,4.339336136419784,355.0,0.09861111111111111
21671.88885577954,6.019969126605428,354.0,0.09833333333333333
22009.29492702041,6.113693035283448,465.0,0.12916666666666668
21188.48504724372,5.885690290901033,463.0,0.12861111111111112
9425.433182719355,2.6181758840887097,353.0,0.09805555555555556
23410.245249556094,6.502845902654471,462.0,0.12833333333333333
14787.617646554332,4.107671568487315,353.0,0.09805555555555556
14690.823053876382,4.080784181632328,352.0,0.09777777777777778
29967.079937084836,8.324188871412455,462.0,0.12833333333333333
15768.677925031556,4.380188312508765,351.0,0.0975
28266.37029021595,7.851769525059986,462.0,0.12833333333333333
17478.389286413094,4.855108135114748,461.0,0.12805555555555556
20778.03058764946,5.771675163235961,461.0,0.12805555555555556
24572.084709789095,6.825579086052526,426.0,0.11833333333333333
27234.228602827534,7.565063500785426,426.0,0.11833333333333333
16811.84615648298,4.6699572656897175,426.0,0.11833333333333333
23189.83875063204,6.441621875175566,426.0,0.11833333333333333
24684.906524200036,6.856918478944454,426.0,0.11833333333333333
16813.771129450128,4.670491980402813,425.0,0.11805555555555555
26787.000295629765,7.440833415452713,425.0,0.11805555555555555
19702.120762349237,5.472811322874788,424.0,0.11777777777777777
17811.603953161026,4.947667764766952,424.0,0.11777777777777777
21879.803224184136,6.077723117828927,423.0,0.1175
20488.80943642913,5.691335954563646,422.0,0.11722222222222223
25219.37669254393,7.005382414595537,422.0,0.11722222222222223
27411.484106511693,7.614301140697692,419.0,0.11638888888888889
25646.560277878227,7.1240445216328405,418.0,0.11611111111111111
16739.22498506232,4.649784718072866,417.0,0.11583333333333333
20538.741448546116,5.7052059579294765,418.0,0.11611111111111111
22353.72668184502,6.209368522734727,417.0,0.11583333333333333
20342.475662253975,5.650687683959438,416.0,0.11555555555555555
8448.772356795971,2.346881210221103,167.0,0.04638888888888889
10868.172673832143,3.018936853842262,168.0,0.04666666666666667
9039.18071984643,2.510883533290675,168.0,0.04666666666666667
7772.504752176266,2.159029097826741,169.0,0.04694444444444444
10613.166510293857,2.94810180841496,169.0,0.04694444444444444
6718.554274986312,1.8662650763850865,170.0,0.04722222222222222
6691.493152764674,1.8587480979901871,170.0,0.04722222222222222
7560.275842234113,2.1000766228428094,171.0,0.0475
9364.50585763182,2.60125162711995,171.0,0.0475
9625.812154528378,2.673836709591216,171.0,0.0475
6825.539987205844,1.895983329779401,171.0,0.0475
8620.182906911803,2.3944952519199454,171.0,0.0475
11473.53653075797,3.187093480766103,171.0,0.0475
10207.038363321162,2.8352884342558786,170.0,0.04722222222222222
10170.109198760309,2.8250303329889745,169.0,0.04694444444444444
7136.942220707122,1.9824839501964229,167.0,0.04638888888888889
8140.1714808708175,2.2611587446863384,166.0,0.04611111111111111
